ScientificName,CommonName
Inga edulis,Guamo
Inga heteroptera,Guamo cajeto 
Inga sp.,Guamo
Inga spectabilis,Guamo
Ixora coccinea,Lomo de caiman rojo
Jacaranda caucana,Gualanday
Jacaranda hesperia,Gualanday
Jacaranda mimosifolia,Gualanday
Jacaranda sp.,Gualanday
Jatropha integerrima,Peregrina
Juglans neotropica,Cedro negro
Khoelreuteria paniculata,Jabonero de la china
Knifosculus acotinifolius,N/A
Koelreuteria bipinnata,Jabonero
Lafoensia acuminata,Guayacan de manizales
Lafoensia punicifolia,Guayacan de manizales 
Lafoensia speciosa,Guayacan de Manizales
Lagerstroemia speciosa,Flor de reina
Latania cf. lontaroides,Lantania
Leucaena leucocephala,Leucaena
Licania tomentosa,Oiti
Licuala grandis,Licuala
Livistona chinensis,Palma abanico de China
Livistona drudei,Palma abanico
Livistona rotundifolia,Palma abanico de la china
Livistona sp.,Palma abanico
Luehea seemannii,Guacimo colorado
Lytocaryum weddellianum,Palma Coquito
Macadamia integrifolia,Macadamia
Magnolia grandiflora,Magnolio
Malpighia emarginata,Acerola
Malpighia glabra,Huesito
Malus domestica,Palo de manzano
Mammea americana,Mamey
Mangifera indica,Mango 
Margaritaria nobilis,Ojo de paloma
Matisia cordata,Zapote
Megaskepasma erythrochlamys,Nacedero/Manto rojo
Melaleuca quinquenervia,Corcho
Melicoccus bijugatus,Mamoncillo
Melicoccus oliviformis,N/A
Miconia acuminata,Miconia
Miconia caudata,N/A
Miconia cf. dodecandra,N/A
Miconia minutiflora,Nigüito
Miconia sp.,Niguito
Morinda citrifolia,Noni 
Moringa oleifera,N/A
Murraya paniculata,Azahar de la india
Myrcia popayanensis,Arrayan
Myrcia pubescens,Olivo de cera
Myrcia selloi,Arrayan cerezo
Myrcia sp.,N/A
Myrciaria cauliflora,Jaboticaba
Myrica pubescens,Lengua de vaca
Myrsine coriacea,Espadero
Myrsine sp.,Espadero
Nerium oleander,Habano
Ochna thomasiana,Mickey mouse
Ochroma pyramidale,Balso
Ormosia sp.,Chocho
Orthoneura integerrima,Peregrino
Pachira aquatica,Cacao de monte
Pachira quinata,Ceiba tolua
Pachira sp.,N/A
Pachystachys coccinea,Pachystachys
Pachystachys sp.,N/A
Pandanus utilis,Palma tornillo
Pentaclethra macroloba,Dormilon
Persea americana,Aguacate
Persea caerulea,Aguacatillo
Petrea rugosa,Estrella de oriente
Phitecellobium dulce,Chiminango
Phoenix canariensis,Palma dátil de las Canarias
Phoenix reclinata,Palma fenix
Phoenix roebelenii,Palma robeleni
Phoenix sp.,Phoenix
Phyllantus acidus,Grosello
Picea pungens,Pino azul
Pinus patula,Pino patula
Pinus radiata,Pino radiata
Pinus sp.,Pino
Piper aduncum,Cordoncillo 
Piper sp.,Cordoncillo
Pithecellobium dulce,Chiminango
Pittosporum undulatum,Galan de noche/Jazmin australiano
Platycladus orientalis,Pino libro
Platymiscium pinnatum,Guayacan trebol
Platypodium elegans,Lomo de caiman
Plumeria sp.,Frangipan
Plumeria tricolor,Frangipan
Podocarpus oleifolius,Pino colombiano
Podocarpus sp.,N/A
Polyscias sp.,N/A
Pouruma bicolor,Pouruma
Pritchardia pacifica,Palma abanico de fiji
Prunus dulcis,Almendro
Pseudobombax septenatum,Ceiba verde
Psidium cattleianum,Guayabo argelino
Psidium guajava,Guayabo
Psidium guineense,Guayaba agria
Psidium sp.,N/A
Punica granatum,Granada
Quararibea cordata,Zapote
Quercus humboldtii,Roble de tierra fria
Raphis excelsa,Palmerita china
Retrophyllum rospigliosii,Pino romeron
Ricinus communis,Higuerilla
Rosmarinus officinalis,Romero
Roystonea regia,Palma real de Cuba
Sabal domingensis,Palma cana
Sabal mauritiiformis,Palma amarga
Salix humboldtiana,Sauce
Sambucus nigra,Sauco
sambucus peruviana,Sauco
